======================================================================
IPTV 酒店源流量测试报告 (2026-04-11 01:30:48)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
182.123.210.93:9901       | 河北卫视                 | 7.65   Mbps | 0%
182.123.210.93:9901       | CCTV6-电影             | 7.54   Mbps | 0%
182.207.218.24:999        | 内蒙古卫视                | 1.59   Mbps | 0%
182.207.218.24:999        | 辽宁卫视                 | 5.2    Mbps | 12%
182.207.218.24:999        | 四川卫视                 | 5.45   Mbps | 0%
182.91.124.224:8801       | 四川卫视                 | 0.91   Mbps | 73%
182.91.124.224:8801       | CCTV-14少儿            | 0.21   Mbps | 100%
182.91.124.224:8801       | 天津卫视                 | 0.34   Mbps | 100%
182.91.124.60:8801        | 北京卫视                 | 6.64   Mbps | 0%
182.91.124.60:8801        | CCTV-2财经             | 3.02   Mbps | 0%
182.91.124.60:8801        | 深圳卫视                 | 3.04   Mbps | 0%
182.91.124.61:8801        | CCTV-13新闻            | 3.01   Mbps | 0%
182.91.124.61:8801        | CCTV-14少儿            | 3.07   Mbps | 0%
182.91.124.61:8801        | 河南卫视                 | 2.96   Mbps | 0%
183.186.172.30:9888       | 风云足球                 | 2.47   Mbps | 13%
183.186.172.30:9888       | CCTV12-社会与法          | 4.14   Mbps | 65%
183.186.172.30:9888       | 山西影视                 | 3.07   Mbps | 24%
183.186.68.174:9999       | CCTV8-电视剧            | 7.13   Mbps | 0%
183.186.68.174:9999       | 四川卫视                 | 7.17   Mbps | 0%
183.186.68.174:9999       | 湖北卫视                 | 7.02   Mbps | 0%
183.186.68.206:9999       | CCTV6-电影             | 7.14   Mbps | 0%
183.186.68.206:9999       | CCTV13-新闻            | 3.51   Mbps | 0%
183.186.68.206:9999       | CCTV14-少儿            | 7.16   Mbps | 0%
183.190.163.221:888       | CCTV5-体育             | 5.04   Mbps | 66%
183.190.163.221:888       | 黑龙江卫视                | 1.51   Mbps | 100%
183.190.163.221:888       | 新疆卫视                 | 1.4    Mbps | 100%
183.223.157.33:9901       | CCTV6-电影             | 2.5    Mbps | 0%
183.223.157.33:9901       | 四川科教                 | 2.37   Mbps | 100%
183.223.157.33:9901       | CCTV13-新闻            | 2.39   Mbps | 100%
183.239.226.235:9901      | 深圳卫视                 | 0.07   Mbps | 100%
218.1.208.13:7777         | CCTV7                | 0.13   Mbps | 100%
218.1.208.13:7777         | 辽宁卫视                 | 0.12   Mbps | 100%
218.1.208.13:7777         | CCTV5                | 0.12   Mbps | 100%
218.104.239.114:9901      | CCTV5-体育             | 1.73   Mbps | 100%
218.104.239.114:9901      | 江西卫视                 | 1.81   Mbps | 100%
218.104.239.114:9901      | 福建新闻高清               | 1.67   Mbps | 100%
218.13.170.98:9901        | 广东体育                 | 0.35   Mbps | 100%
218.13.170.98:9901        | 新疆卫视                 | 0.34   Mbps | 100%
218.13.170.98:9901        | 贵州卫视                 | 0.53   Mbps | 100%
218.77.62.245:10999       | CCTV3-综艺             | 0.24   Mbps | 100%
218.77.62.245:10999       | 黑龙江卫视                | 0.45   Mbps | 100%
218.77.62.245:10999       | 东方卫视                 | 0.46   Mbps | 100%
219.137.203.66:9901       | 广东少儿                 | 2.96   Mbps | 30%
219.137.203.66:9901       | CCTV5-体育             | 1.09   Mbps | 34%
219.137.203.66:9901       | CCTV11-戏曲            | 0.93   Mbps | 84%
219.137.203.90:9901       | CCTV3-综艺             | 1.89   Mbps | 0%
219.137.203.90:9901       | CCTV14-少儿            | 1.8    Mbps | 53%
219.137.203.90:9901       | CCTV2-财经             | 1.68   Mbps | 92%
219.140.4.193:7777        | CCTV-13              | 1.12   Mbps | 100%
219.140.4.193:7777        | CCTV-17              | 1.25   Mbps | 100%
219.140.4.193:7777        | CCTV-11              | 1.14   Mbps | 100%
219.140.6.129:7777        | 江西卫视                 | 2.06   Mbps | 100%
219.140.6.129:7777        | 东南卫视                 | 0.53   Mbps | 100%
219.140.6.129:7777        | CCTV-17              | 0.99   Mbps | 100%
219.144.157.62:9901       | CCTV15               | 0.02   Mbps | 100%
219.144.157.62:9901       | 山东卫视                 | 0.02   Mbps | 100%
219.145.93.74:10000       | 重庆卫视                 | 0.03   Mbps | 100%
219.145.93.74:10000       | CCTV8-电视剧            | 0.04   Mbps | 100%
219.146.95.58:59902       | 山东新闻                 | 0.12   Mbps | 100%
219.146.95.58:59902       | 山西卫视                 | 0.16   Mbps | 100%
219.146.95.58:59902       | 陕西卫视                 | 0.16   Mbps | 100%
219.159.91.10:8801        | CCTV8-电视剧            | 0.84   Mbps | 100%
219.159.91.10:8801        | 东方卫视                 | 0.55   Mbps | 100%
219.159.91.10:8801        | CCTV7-军农             | 0.85   Mbps | 100%
220.187.217.83:9901       | 安徽卫视                 | 4.56   Mbps | 74%
220.187.217.83:9901       | 贵州卫视                 | 1.54   Mbps | 0%
220.187.217.83:9901       | CCTV6-电影             | 5.42   Mbps | 54%
220.187.218.175:9901      | CCTV2-财经             | 4.52   Mbps | 0%
220.187.218.175:9901      | CCTV11-戏曲            | 3.0    Mbps | 49%
220.187.218.175:9901      | CCTV1-综合             | 3.43   Mbps | 79%
221.13.233.243:9901       | CCTV-7               | 7.62   Mbps | 0%
221.13.233.243:9901       | 河南戏曲                 | 7.71   Mbps | 0%
221.13.233.243:9901       | 都市频道                 | 7.71   Mbps | 0%
221.13.234.220:9901       | CCTV3-综艺             | 7.82   Mbps | 0%
221.13.234.220:9901       | 河南卫视                 | 7.91   Mbps | 0%
221.13.234.220:9901       | CCTV4-国际             | 7.67   Mbps | 0%
221.13.234.243:9901       | 河南戏曲                 | 7.71   Mbps | 0%
221.13.234.243:9901       | CCTV3-综艺             | 7.61   Mbps | 72%
221.13.234.243:9901       | CCTV13-新闻            | 7.76   Mbps | 0%
221.232.100.225:7777      | CCTV-1               | 0.47   Mbps | 100%
221.232.100.225:7777      | 河南卫视                 | 0.86   Mbps | 100%
221.232.100.225:7777      | CCTV-9               | 1.85   Mbps | 100%
221.232.102.143:7777      | 北京卫视                 | 1.18   Mbps | 100%
221.232.102.143:7777      | 江西卫视                 | 0.67   Mbps | 100%
221.232.102.143:7777      | 江苏卫视                 | 0.18   Mbps | 100%
221.232.196.109:7777      | CCTV-10              | 2.99   Mbps | 41%
221.232.196.109:7777      | CCTV-14              | 3.7    Mbps | 28%
221.232.196.109:7777      | 湖北综合                 | 4.66   Mbps | 96%
221.232.196.73:7777       | CCTV10-科教            | 4.91   Mbps | 0%
221.232.196.73:7777       | CCTV4-国际             | 1.28   Mbps | 100%
221.232.196.73:7777       | 东南卫视                 | 1.81   Mbps | 100%
221.232.197.145:7777      | CCTV7-军农             | 0.49   Mbps | 100%
221.232.197.145:7777      | CCTV11-戏曲            | 0.58   Mbps | 100%
221.232.197.145:7777      | 湖北综合                 | 0.91   Mbps | 100%
221.232.197.200:7777      | CCTV8-电视剧            | 2.25   Mbps | 100%
221.232.197.200:7777      | CCTV3-综艺             | 3.07   Mbps | 34%
221.232.197.200:7777      | 湖北卫视                 | 3.01   Mbps | 11%
221.232.197.28:7777       | 湖南卫视                 | 5.04   Mbps | 42%
221.232.197.28:7777       | CCTV13-新闻            | 2.42   Mbps | 100%
221.232.197.28:7777       | CGTN                 | 2.59   Mbps | 9%
221.232.197.38:7777       | CCTV13-新闻            | 2.45   Mbps | 0%
221.232.197.38:7777       | 四川卫视                 | 5.22   Mbps | 0%
221.232.197.8:7777        | 湖北卫视                 | 4.0    Mbps | 69%
221.232.197.8:7777        | CCTV6-电影             | 4.27   Mbps | 89%
221.232.198.109:7777      | CCTV-3               | 2.53   Mbps | 0%
221.232.198.109:7777      | 湖北公共                 | 4.69   Mbps | 61%
221.232.198.109:7777      | 重庆卫视                 | 2.85   Mbps | 0%
221.232.198.123:7777      | CCTV5-体育             | 3.72   Mbps | 6%
221.232.198.123:7777      | CCTV8-电视剧            | 2.92   Mbps | 0%
221.232.198.123:7777      | CCTV11-戏曲            | 4.03   Mbps | 63%
221.232.198.234:7777      | 江西卫视                 | 3.54   Mbps | 39%
221.232.198.234:7777      | 重庆卫视                 | 3.16   Mbps | 5%
221.232.199.117:7777      | CCTV12-社会与法          | 4.44   Mbps | 88%
221.232.199.117:7777      | 重庆卫视                 | 3.23   Mbps | 0%
221.232.199.117:7777      | CCTV11-戏曲            | 1.67   Mbps | 100%
221.232.199.208:7777      | CCTV5+体育赛事           | 1.4    Mbps | 100%
221.232.199.208:7777      | 北京卫视                 | 2.2    Mbps | 100%
221.7.175.127:9901        | CCTV-16              | 0.17   Mbps | 100%
221.7.175.127:9901        | CCTV-14              | 0.14   Mbps | 100%
221.7.175.127:9901        | CCTV-9               | 0.14   Mbps | 100%
221.7.175.154:8445        | 广西新闻                 | 7.71   Mbps | 0%
221.7.175.154:8445        | 东方卫视                 | 9.52   Mbps | 83%
221.7.175.154:8445        | 安徽卫视                 | 8.99   Mbps | 26%
222.169.85.8:9901         | 中央13台                | 0.83   Mbps | 100%
222.169.85.8:9901         | 中央8台                 | 1.31   Mbps | 100%
222.169.85.8:9901         | 四川卫视                 | 2.02   Mbps | 100%
222.214.208.34:59901      | 峨眉电影                 | 1.36   Mbps | 100%
222.214.208.34:59901      | 东方卫视                 | 0.91   Mbps | 100%
222.214.208.34:59901      | CCTV13-新闻            | 1.21   Mbps | 100%
223.14.160.57:9901        | 重庆卫视                 | 0.54   Mbps | 100%
223.14.160.57:9901        | CCTV10-科教            | 0.56   Mbps | 100%
223.14.160.57:9901        | 吉林卫视                 | 0.43   Mbps | 100%
27.15.7.10:9901           | CCTV8-电视剧            | 4.94   Mbps | 0%
27.15.7.10:9901           | CCTV6-电影             | 2.86   Mbps | 45%
27.15.7.10:9901           | CCTV9-纪录-高清          | 5.35   Mbps | 0%
27.15.7.152:9901          | 黑龙江卫视-高清             | 1.74   Mbps | 0%
27.15.7.152:9901          | 重庆都市-高清              | 2.01   Mbps | 0%
27.15.7.152:9901          | 重庆卫视                 | 4.91   Mbps | 15%
36.136.38.87:9901         | 广西综艺                 | 3.14   Mbps | 0%
36.136.38.87:9901         | 金鹰卡通                 | 3.07   Mbps | 0%
36.136.38.87:9901         | 江西卫视                 | 3.03   Mbps | 0%
39.164.164.132:9901       | CCTV-14              | 0.78   Mbps | 100%
39.164.164.132:9901       | 河南新闻                 | 2.91   Mbps | 77%
39.164.164.132:9901       | 内蒙古卫视                | 1.51   Mbps | 52%
42.225.117.174:11199      | 北京卫视                 | 0.08   Mbps | 100%
42.225.117.174:11199      | 梨园频道                 | 0.1    Mbps | 100%
