更新时间: 2026-04-10 15:05:13（北京时间）

更新时间,#genre#
2026-04-10 15:05:13,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
兵器科技,http://223.10.214.111:6000/rtp/239.1.1.97:8097$山西电信
风云音乐,http://106.116.240.74:9999/rtp/239.254.201.221:7259$河北省电信
风云音乐,http://223.10.214.111:6000/rtp/239.1.1.96:8096$山西电信
风云足球,http://106.116.240.74:9999/rtp/239.254.201.222:7251$河北省电信
风云足球,http://223.10.214.111:6000/rtp/239.1.1.101:8101$山西电信
风云剧场,http://106.116.240.74:9999/rtp/239.254.201.219:7257$河北省电信
风云剧场,http://223.10.214.111:6000/rtp/239.1.1.93:8093$山西电信
怀旧剧场,http://106.116.240.74:9999/rtp/239.254.201.220:7256$河北省电信
怀旧剧场,http://223.10.214.111:6000/rtp/239.1.1.95:8095$山西电信
第一剧场,http://106.116.240.74:9999/rtp/239.254.201.218:7258$河北省电信
第一剧场,http://223.10.214.111:6000/rtp/239.1.1.94:8094$山西电信
女性时尚,http://106.116.240.74:9999/rtp/239.254.201.228:7255$河北省电信
女性时尚,http://223.10.214.111:6000/rtp/239.1.1.89:8089$山西电信
世界地理,http://106.116.240.74:9999/rtp/239.254.201.226:7254$河北省电信
世界地理,http://223.10.214.111:6000/rtp/239.1.1.99:8099$山西电信
央视台球,http://106.116.240.74:9999/rtp/239.254.201.171:7176$河北省电信
央视台球,http://223.10.214.111:6000/rtp/239.1.1.100:8100$山西电信
高尔夫网球,http://106.116.240.74:9999/rtp/239.254.201.223:7252$河北省电信
高尔夫网球,http://223.10.214.111:6000/rtp/239.1.1.102:8102$山西电信
央视文化精品,http://106.116.240.74:9999/rtp/239.254.201.229:7260$河北省电信
央视文化精品,http://223.10.214.111:6000/rtp/239.1.1.91:8091$山西电信
电视指南,http://106.116.240.74:9999/rtp/239.254.201.217:7250$河北省电信
电视指南,http://223.10.214.111:6000/rtp/239.1.1.90:8090$山西电信
中学生,http://106.116.240.74:9999/rtp/239.254.200.113:6243$河北省电信
中学生,http://223.10.214.111:6000/rtp/239.1.1.104:8104$山西电信
发现之旅,http://223.10.214.111:6000/rtp/239.1.1.103:8103$山西电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信
环球奇观,http://223.10.214.111:6000/rtp/239.1.1.98:8098$山西电信

卫视频道,#genre#
湖南卫视,http://106.116.240.74:9999/rtp/239.254.200.48:8012$河北省电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://60.184.112.120:4023/rtp/233.50.201.103:5140$浙江电信
湖南卫视,http://60.184.112.120:4023/rtp/233.50.200.190:5140$浙江电信
湖南卫视,http://60.184.112.120:4023/rtp/233.50.202.106:5140$浙江电信
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028$山西电信
湖南卫视,http://182.135.34.97:888/rtp/239.94.0.116:5140$四川电信
湖南卫视,http://182.135.34.97:888/rtp/239.94.0.61:5140$四川电信
浙江卫视,http://106.116.240.74:9999/rtp/239.254.200.53:8036$河北省电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://60.184.112.120:4023/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://60.184.112.120:4023/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://60.184.112.120:4023/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://60.184.112.120:4023/rtp/233.50.202.104:5140$浙江电信
浙江卫视,http://223.10.214.111:6000/rtp/239.1.1.38:8038$山西电信
浙江卫视,http://182.135.34.97:888/rtp/239.94.0.118:5140$四川电信
浙江卫视,http://182.135.34.97:888/rtp/239.94.0.63:5140$四川电信
江苏卫视,http://106.116.240.74:9999/rtp/239.254.200.51:8028$河北省电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://60.184.112.120:4023/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://60.184.112.120:4023/rtp/233.50.200.144:5140$浙江电信
江苏卫视,http://223.10.214.111:6000/rtp/239.1.1.35:8035$山西电信
江苏卫视,http://182.135.34.97:888/rtp/239.94.0.62:5140$四川电信
东方卫视,http://106.116.240.74:9999/rtp/239.254.200.52:8032$河北省电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
东方卫视,http://60.184.112.120:4023/rtp/233.50.201.125:5140$浙江电信
东方卫视,http://60.184.112.120:4023/rtp/233.50.200.146:5140$浙江电信
东方卫视,http://60.184.112.120:4023/rtp/233.50.202.105:5140$浙江电信
东方卫视,http://182.135.34.97:888/rtp/239.94.0.119:5140$四川电信
东方卫视,http://182.135.34.97:888/rtp/239.94.0.64:5140$四川电信
深圳卫视,http://106.116.240.74:9999/rtp/239.254.200.50:8020$河北省电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://60.184.112.120:4023/rtp/233.50.201.101:5140$浙江电信
深圳卫视,http://60.184.112.120:4023/rtp/233.50.200.188:5140$浙江电信
深圳卫视,http://60.184.112.120:4023/rtp/233.50.202.102:5140$浙江电信
深圳卫视,http://223.10.214.111:6000/rtp/239.1.1.39:8039$山西电信
深圳卫视,http://182.135.34.97:888/rtp/239.94.0.113:5140$四川电信
深圳卫视,http://182.135.34.97:888/rtp/239.94.0.66:5140$四川电信
北京卫视,http://106.116.240.74:9999/rtp/239.254.200.47:8024$河北省电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://60.184.112.120:4023/rtp/233.50.201.107:5140$浙江电信
北京卫视,http://60.184.112.120:4023/rtp/233.50.200.179:5140$浙江电信
北京卫视,http://60.184.112.120:4023/rtp/233.50.202.100:5140$浙江电信
北京卫视,http://223.10.214.111:6000/rtp/239.1.1.41:8041$山西电信
北京卫视,http://182.135.34.97:888/rtp/239.94.0.111:5140$四川电信
北京卫视,http://182.135.34.97:888/rtp/239.94.0.112:5140$四川电信
北京卫视,http://182.135.34.97:888/rtp/239.94.0.65:5140$四川电信
广东卫视,http://106.116.240.74:9999/rtp/239.254.200.56:8048$河北省电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://60.184.112.120:4023/rtp/233.50.200.187:5140$浙江电信
广东卫视,http://60.184.112.120:4023/rtp/233.50.200.126:5140$浙江电信
广东卫视,http://60.184.112.120:4023/rtp/233.50.200.149:5140$浙江电信
广东卫视,http://60.184.112.120:4023/rtp/233.50.201.102:5140$浙江电信
广东卫视,http://60.184.112.120:4023/rtp/233.50.202.101:5140$浙江电信
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://182.135.34.97:888/rtp/239.94.0.114:5140$四川电信
广东卫视,http://182.135.34.97:888/rtp/239.94.0.67:5140$四川电信
广西卫视,http://106.116.240.74:9999/rtp/239.254.200.80:8300$河北省电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
广西卫视,http://60.184.112.120:4023/rtp/233.50.200.136:5140$浙江电信
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
广西卫视,http://182.135.34.97:888/rtp/239.94.0.89:5140$四川电信
东南卫视,http://106.116.240.74:9999/rtp/239.254.201.13:6291$河北省电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://60.184.112.120:4023/rtp/233.50.201.146:5140$浙江电信
东南卫视,http://60.184.112.120:4023/rtp/233.50.200.135:5140$浙江电信
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://182.135.34.97:888/rtp/239.94.0.80:5140$四川电信
海南卫视,http://106.116.240.74:9999/rtp/239.254.201.125:6288$河北省电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://60.184.112.120:4023/rtp/233.50.200.165:5140$浙江电信
海南卫视,http://60.184.112.120:4023/rtp/233.50.200.62:5140$浙江电信
海南卫视,http://60.184.112.120:4023/rtp/233.50.201.55:5140$浙江电信
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
河北卫视,http://106.116.240.74:9999/rtp/239.254.200.174:6000$河北省电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://60.184.112.120:4023/rtp/233.50.201.140:5140$浙江电信
河北卫视,http://60.184.112.120:4023/rtp/233.50.200.105:5140$浙江电信
河北卫视,http://223.10.214.111:6000/rtp/239.1.1.48:8048$山西电信
河北卫视,http://182.135.34.97:888/rtp/239.94.0.86:5140$四川电信
河南卫视,http://106.116.240.74:9999/rtp/239.254.201.16:7174$河北省电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://60.184.112.120:4023/rtp/233.50.201.144:5140$浙江电信
河南卫视,http://60.184.112.120:4023/rtp/233.50.200.142:5140$浙江电信
河南卫视,http://223.10.214.111:6000/rtp/239.1.1.34:8034$山西电信
河南卫视,http://182.135.34.97:888/rtp/239.94.0.88:5140$四川电信
湖北卫视,http://106.116.240.74:9999/rtp/239.254.200.164:6000$河北省电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://60.184.112.120:4023/rtp/233.50.201.114:5140$浙江电信
湖北卫视,http://60.184.112.120:4023/rtp/233.50.200.147:5140$浙江电信
湖北卫视,http://223.10.214.111:6000/rtp/239.1.1.32:8032$山西电信
湖北卫视,http://182.135.34.97:888/rtp/239.94.0.84:5140$四川电信
江西卫视,http://106.116.240.74:9999/rtp/239.254.201.12:6290$河北省电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://60.184.112.120:4023/rtp/233.50.201.145:5140$浙江电信
江西卫视,http://60.184.112.120:4023/rtp/233.50.200.119:5140$浙江电信
江西卫视,http://223.10.214.111:6000/rtp/239.1.1.52:8052$山西电信
江西卫视,http://182.135.34.97:888/rtp/239.94.0.79:5140$四川电信
四川卫视,http://106.116.240.74:9999/rtp/239.254.200.202:6325$河北省电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://60.184.112.120:4023/rtp/233.50.201.139:5140$浙江电信
四川卫视,http://60.184.112.120:4023/rtp/233.50.200.118:5140$浙江电信
四川卫视,http://60.184.112.120:4023/rtp/233.50.202.109:5140$浙江电信
四川卫视,http://223.10.214.111:6000/rtp/239.1.1.29:8029$山西电信
四川卫视,http://182.135.34.97:888/rtp/239.94.0.115:5140$四川电信
四川卫视,http://182.135.34.97:888/rtp/239.94.0.60:5140$四川电信
四川卫视,http://182.135.34.97:888/rtp/239.94.0.59:5140$四川电信
